id,gpu,rate,url
262,nvidia gt 1030,41,https://versus.com/ru/nvidia-geforce-gt-1030-ddr4
263,nvidia gtx 1650 super,71,https://versus.com/ru/nvidia-geforce-gtx-1650-super
264,palit geforce gtx 1050ti stormx 4gb,57,https://versus.com/ru/gigabyte-geforce-gtx-1050-ti-g1-gaming
265,radeon hd sma,18,""
266,radeon rx 5600 xt,84,https://versus.com/ru/amd-radeon-rx-5600-xt
267,radeon rx 570,66,https://versus.com/ru/amd-radeon-rx-570
268,radeon rx vega 11,24,""
269,radeon vega 8 graphics,43,https://versus.com/ru/amd-radeon-rx-vega-8
270,rtx 2060,79,https://versus.com/ru/nvidia-geforce-rtx-2060
271,rtx 2060 6gb,79,https://versus.com/ru/nvidia-geforce-rtx-2060
272,rtx 2060 super,86,https://versus.com/ru/nvidia-geforce-rtx-2060-super
273,rtx 2070,78,https://versus.com/ru/nvidia-geforce-rtx-2070
274,rtx 2070 super 8gb,87,https://versus.com/ru/nvidia-geforce-rtx-2070-super
275,rtx 2080 + intel uhd 630,86,https://versus.com/ru/nvidia-geforce-rtx-2080
276,rtx 2080 super,91,https://versus.com/ru/nvidia-geforce-rtx-2080-super
277,rx 580,70,https://versus.com/ru/amd-radeon-rx-580
278,uhd graphics 630,20,""
