p_id,category_name,p_source_id,title,price,brand,rating,reviews_quantity,cpu,cpu_rate,hertz,cores,gpu,gpu_rate,ram,ram_type,ssd,drive_size,url
5237,desktops,100119049,Lenovo IdeaCentre A340-24ICK F0ER0066RK черный,249900,Lenovo,0,0,intel core i3 8100t,72,3100,4,intel uhd graphics 630,21,4,,false,1000,https://kaspi.kz/shop/p/lenovo-ideacentre-a340-24ick-f0er0066rk-chernyi-100119049/?c=750000000
5337,desktops,1480719,HP Pavilion All-in-One 27-xa0095urr 7JU27EA белый,409900,HP,0,0,9100t,66,3100,4,intel uhd graphics 630,21,8,,false,1000,https://kaspi.kz/shop/p/hp-pavilion-all-in-one-27-xa0095urr-7ju27ea-belyi-1480719/?c=750000000
5342,desktops,100062843,HP Pavilion All-in-One 27-xa0136ur 8XJ21EA белый,479900,HP,0,0,intel core i5 9400t,64,1800,6,nvidia geforce gtx 1050 + intel uhd graphics 630,54,4,,false,1000,https://kaspi.kz/shop/p/hp-pavilion-all-in-one-27-xa0136ur-8xj21ea-belyi-100062843/?c=750000000
5379,desktops,1401649,HP EliteOne 800 G3 1KA98EA серебристый-черный,516497,HP,0,0,intel core i5 7500,72,3400,4,amd radeon 460 + intel hd graphics 630,55,8,,false,1000,https://kaspi.kz/shop/p/hp-eliteone-800-g3-1ka98ea-serebristyi-chernyi-1401649/?c=750000000
5423,desktops,1401562,Avalon Delta G32 черный,176610,Avalon,10,0,intel core i3 7100,72,3900,2,nvidia geforce gt 1030,41,4,,false,1000,https://kaspi.kz/shop/p/avalon-delta-g32-chernyi-1401562/?c=750000000
5439,desktops,1480392,HP ProOne 200G3 AiO NT 3VA39EA белый,281375,HP,0,0,8130u,59,2200,2,intel uhd graphics 620,20,4,,false,1000,https://kaspi.kz/shop/p/hp-proone-200g3-aio-nt-3va39ea-belyi-1480392/?c=750000000
5443,desktops,1401533,DELL OptiPlex 3050 MT черный,727880,DELL,0,0,intel core i3 7100,72,3900,2,intel hd graphics 630,21,4,,false,500,https://kaspi.kz/shop/p/dell-optiplex-3050-mt-chernyi-1401533/?c=750000000
5458,desktops,100051493,PULSER Standard 53 черный,141595,PULSER,10,1,intel core i3 7100,72,3900,2,intel uhd graphics 630,21,8,,true,480,https://kaspi.kz/shop/p/pulser-standard-53-chernyi-100051493/?c=750000000
5601,desktops,100010084,PULSER Standard 42 черный,89360,PULSER,0,0,intel celeron g3900,51,2800,2,intel hd 510,15,4,,false,1000,https://kaspi.kz/shop/p/pulser-standard-42-chernyi-100010084/?c=750000000
5603,desktops,100010078,PULSER Standard 43 черный,89365,PULSER,10,1,intel celeron g3900,51,2800,2,intel hd 510,15,4,,true,240,https://kaspi.kz/shop/p/pulser-standard-43-chernyi-100010078/?c=750000000
